years_forcing,months_forcing,precipforc_1,precipforc_2,tsaforc_1,tsaforc_2
1666,11,0.0266377746460633,0.0266377746460633,-20.2612972056532,-20.2612972056532
1666,12,0.0285249778546865,0.0285249778546865,-27.5342697052011,-27.5342697052011
1667,1,0.0286706754175168,0.0286706754175168,-30.2469251280056,-30.2469251280056
1667,2,0.0286528609097942,0.0286528609097942,-27.5891255165114,-27.5891255165114
1667,3,0.0288223724741771,0.0288223724741771,-20.3278819415724,-20.3278819415724
1667,4,0.0283798272681689,0.0283798272681689,-10.4088387551392,-10.4088387551392
1667,5,0.0273131770208597,0.0273131770208597,-0.489795568705937,-0.489795568705937
1667,6,0.02885087185886,0.02885087185886,6.77144800623309,6.77144800623309
1667,7,0.0285095787897792,0.0285095787897792,9.42924761772731,9.42924761772731
1667,8,0.0281700148918022,0.0281700148918022,6.77144800623311,6.77144800623311
1667,9,0.0292206261942872,0.0292206261942872,-0.489795568705926,-0.489795568705926
1667,10,0.0273962979566271,0.0273962979566271,-10.4088387551391,-10.4088387551391
1667,11,0.0267987332954829,0.0267987332954829,-20.3278819415724,-20.3278819415724
1667,12,0.0266660777149048,0.0266660777149048,-27.5891255165114,-27.5891255165114
1668,1,0.0285806820306504,0.0285806820306504,-30.5522112857506,-30.5522112857506
1668,2,0.0274788186388412,0.0274788186388412,-27.8511346061664,-27.8511346061664
1668,3,0.0284097498402563,0.0284097498402563,-20.4716558824029,-20.4716558824029
1668,4,0.0265671781766169,0.0265671781766169,-10.3911004790551,-10.3911004790551
1668,5,0.0288487868959337,0.0288487868959337,-0.310545075707445,-0.310545075707445
1668,6,0.0280571104411704,0.0280571104411704,7.06893364805607,7.06893364805607
1668,7,0.0289216009515283,0.0289216009515283,9.77001032764028,9.77001032764028
1668,8,0.0273752264169447,0.0273752264169447,7.06893364805608,7.06893364805608
1668,9,0.0278484521039155,0.0278484521039155,-0.310545075707436,-0.310545075707436
1668,10,0.0263261867665366,0.0263261867665366,-10.3911004790551,-10.3911004790551
1668,11,0.0269949118597149,0.0269949118597149,-20.4716558824028,-20.4716558824028
1668,12,0.0290634441582425,0.0290634441582425,-27.8511346061663,-27.8511346061663
1669,1,0.0281953967887617,0.0281953967887617,-29.6396261655217,-29.6396261655217
1669,2,0.0293079480775022,0.0293079480775022,-27.04741758413,-27.04741758413
1669,3,0.027229756529617,0.027229756529617,-19.9653720359518,-19.9653720359518
1669,4,0.0272658593942197,0.0272658593942197,-10.2911179063819,-10.2911179063819
1669,5,0.0281598576545959,0.0281598576545959,-0.616863776812071,-0.616863776812071
1669,6,0.0278908490207394,0.0278908490207394,6.46518177136612,6.46518177136612
1669,7,0.0283118713395276,0.0283118713395276,9.05739035275783,9.05739035275783
1669,8,0.0278904041449293,0.0278904041449293,6.46518177136613,6.46518177136613
1669,9,0.0276060741487654,0.0276060741487654,-0.61686377681206,-0.61686377681206
1669,10,0.0276365382704126,0.0276365382704126,-10.2911179063819,-10.2911179063819
1669,11,0.0274232338811723,0.0274232338811723,-19.9653720359518,-19.9653720359518
1669,12,0.0285545555354074,0.0285545555354074,-27.04741758413,-27.04741758413
1670,1,0.0275608111746902,0.0275608111746902,-29.4916975963266,-29.4916975963266
1670,2,0.0281835243856701,0.0281835243856701,-26.9093561569241,-26.9093561569241
1670,3,0.0268964589254536,0.0268964589254536,-19.8542681419859,-19.8542681419859
1670,4,0.0257966632033966,0.0257966632033966,-10.2168386876452,-10.2168386876452
1670,5,0.027733614874251,0.027733614874251,-0.579409233304464,-0.579409233304464
1670,6,0.0273019530676959,0.0273019530676959,6.47567878163376,6.47567878163376
1670,7,0.0279401717686299,0.0279401717686299,9.05802022103628,9.05802022103628
1670,8,0.0269952207135772,0.0269952207135772,6.47567878163378,6.47567878163378
1670,9,0.0264400494633485,0.0264400494633485,-0.579409233304453,-0.579409233304453
1670,10,0.02699871908535,0.02699871908535,-10.2168386876452,-10.2168386876452
1670,11,0.0263341588158429,0.0263341588158429,-19.8542681419859,-19.8542681419859
1670,12,0.0270203237147563,0.0270203237147563,-26.9093561569241,-26.9093561569241
1671,1,0.0259281332157305,0.0259281332157305,-28.6294203906469,-28.6294203906469
1671,2,0.0270974108160994,0.0270974108160994,-26.1102573825899,-26.1102573825899
1671,3,0.0266940400785307,0.0266940400785307,-19.2277760520303,-19.2277760520303
1671,4,0.0264041502733425,0.0264041502733425,-9.82613171341379,-9.82613171341379
1671,5,0.0272072971273382,0.0272072971273382,-0.42448737479725,-0.42448737479725
1671,6,0.0277170331475175,0.0277170331475175,6.45799395576237,6.45799395576237
1671,7,0.0273366913078339,0.0273366913078339,8.97715696381931,8.97715696381931
1671,8,0.0267888296817539,0.0267888296817539,6.45799395576238,6.45799395576238
1671,9,0.0273034333479061,0.0273034333479061,-0.42448737479724,-0.42448737479724
1671,10,0.0263556316756965,0.0263556316756965,-9.82613171341378,-9.82613171341378
1671,11,0.0269170574608773,0.0269170574608773,-19.2277760520303,-19.2277760520303
1671,12,0.027512429791317,0.027512429791317,-26.1102573825899,-26.1102573825899
1672,1,0.0255395171354634,0.0255395171354634,-28.8611564848245,-28.8611564848245
1672,2,0.0245731882409463,0.0245731882409463,-26.3642795501935,-26.3642795501935
1672,3,0.0254254851604368,0.0254254851604368,-19.5426849045349,-19.5426849045349
1672,4,0.024603280888058,0.024603280888058,-10.2242133242454,-10.2242133242454
