"atm_del_14C_20,000BP_to_2100_AD_RCP85_RCP45",,
Cal_BP,D14C_RCP85_per_mil,D14C_RCP45_per_mil
9735,90.5,90.5
9730,90.8,90.8
9725,90.4,90.4
9720,89.1,89.1
9715,87.5,87.5
9710,86.8,86.8
9705,87.1,87.1
9700,87.9,87.9
9695,88.9,88.9
9690,89,89
9685,89.2,89.2
9680,89.5,89.5
9675,89.6,89.6
9670,89.4,89.4
9665,89,89
9660,88.9,88.9
9655,88.6,88.6
9650,88.5,88.5
9645,87.2,87.2
9640,85.8,85.8
9635,85.2,85.2
9630,85.5,85.5
9625,85.6,85.6
9620,85.1,85.1
9615,84.3,84.3
9610,83.7,83.7
9605,83.3,83.3
9600,83.6,83.6
9595,83.9,83.9
9590,83.2,83.2
9585,82.4,82.4
9580,82.4,82.4
9575,81.9,81.9
9570,80.2,80.2
9565,79.3,79.3
9560,79.7,79.7
9555,81.6,81.6
9550,83.2,83.2
9545,86.5,86.5
9540,89.3,89.3
9535,92.1,92.1
9530,94.8,94.8
9525,97.2,97.2
9520,98.4,98.4
9515,98.7,98.7
9510,97.8,97.8
9505,96.7,96.7
9500,96.4,96.4
9495,96.7,96.7
9490,97.6,97.6
9485,98.5,98.5
9480,99.2,99.2
9475,99.9,99.9
9470,101.1,101.1
9465,102.7,102.7
9460,103.3,103.3
9455,102.9,102.9
9450,102.4,102.4
9445,102,102
9440,102.1,102.1
9435,102.7,102.7
9430,104,104
9425,104.8,104.8
9420,105,105
9415,104.8,104.8
9410,104.2,104.2
9405,104.2,104.2
9400,106.1,106.1
9395,107.5,107.5
9390,107,107
9385,106.1,106.1
9380,104.8,104.8
9375,104.2,104.2
9370,104.5,104.5
9365,103.9,103.9
9360,102,102
9355,100,100
9350,99.5,99.5
9345,98.3,98.3
9340,96,96
9335,94.6,94.6
9330,95,95
9325,95.5,95.5
9320,95.5,95.5
9315,95.4,95.4
9310,95.3,95.3
9305,95.4,95.4
9300,96,96
9295,96.5,96.5
9290,96.8,96.8
9285,97.1,97.1
9280,97.4,97.4
9275,97.7,97.7
9270,97.7,97.7
9265,97.9,97.9
9260,98,98
9255,98.2,98.2
9250,98.5,98.5
9245,98.6,98.6
9240,98.7,98.7
9235,98.4,98.4
9230,98,98
9225,97.2,97.2
9220,95.9,95.9
9215,94.8,94.8
9210,94.1,94.1
9205,93.9,93.9
9200,93.9,93.9
9195,93.5,93.5
9190,92.9,92.9
9185,92.3,92.3
9180,91.4,91.4
9175,89.9,89.9
9170,88,88
9165,86.6,86.6
9160,85.5,85.5
9155,84.9,84.9
